Name,Info1,Link,Number,AT,,,,,,,,,,
Vipassana,"VipassanÄ (PÄli) or vipaÅ›yanÄ (Sanskrit) literally ""special, super (Vi), seeing (PassanÄ)"", is a Buddhist term that is often translated as ""insight"". The Pali Canon describes it as one of two qualities of mind which is developed (bhÄvanÄ) in Buddhist meditation, the other being samatha (mind calming). It is often defined as a form of meditation that seeks ""insight into the true nature of reality"", defined as anicca ""impermanence"", dukkha ""suffering, unsatisfactoriness"", anattÄ ""non-self"", the three marks of existence in the Theravada tradition, and as Å›Å«nyatÄ ""emptiness"" and Buddha-nature in the Mahayana traditions.
",https://en.wikipedia.org/wiki/Vipassana,90,"Joe Ravi, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Meridian (Chinese medicine),"The meridian system (simplified Chinese: ç»ç»œ; traditional Chinese: ç¶“çµ¡; pinyin: jÄ«ngluÃ², also called channel network) is a concept in traditional Chinese medicine (TCM). Meridians are paths through which the life-energy known as ""qi"" flows.
",https://en.wikipedia.org/wiki/Meridian_(Chinese_medicine),91,"KVDP, Public domain, via Wikimedia Commons",,,,,,,,,,
Orthomolecular medicine,"Orthomolecular medicine is a form of alternative medicine that aims to maintain human health through nutritional supplementation. The concept builds on the idea of an optimal nutritional environment in the body and suggests that diseases reflect deficiencies in this environment. Treatment for disease, according to this view, involves attempts to correct ""imbalances or deficiencies based on individual biochemistry"" by use of substances such as vitamins, minerals, amino acids, trace elements and fatty acids. The notions behind orthomolecular medicine are not supported by sound medical evidence, and the therapy is not effective; even the validity of calling the orthomolecular approach a form of medicine has been questioned since the 1970s.
",https://en.wikipedia.org/wiki/Orthomolecular_medicine,92,"Padoctor, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Mind body interventions,"Mindâ€“body interventions (MBI) (often used interchangeably with Mind-body training (MBT)) describes health and fitness interventions that are supposed to work on a physical and mental level such as yoga, tai chi, and pilates.
",https://en.wikipedia.org/wiki/Mind%E2%80%93body_intervention,93,"Racoon90, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Moxibustion,"Moxibustion (Chinese: ç¸; pinyin: jiÇ”) is a traditional Chinese medicine therapy which consists of burning dried mugwort (wikt:moxa) on particular points on the body. It plays an important role in the traditional medical systems of China, Tibet, Japan, Korea, Vietnam, and Mongolia. Suppliers usually age the mugwort and grind it up to a fluff; practitioners burn the fluff or process it further into a cigar-shaped stick. They can use it indirectly, with acupuncture needles, or burn it on the patient's skin.
",https://en.wikipedia.org/wiki/Moxibustion,94,"Markgran, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Myofascial release,"Myofascial release (MFR, self-myofascial release) is an alternative medicine therapy claimed to be useful for treating skeletal muscle immobility and pain by relaxing contracted muscles, improving blood, oxygen, and lymphatic circulation, and stimulating the stretch reflex in muscles.
",https://en.wikipedia.org/wiki/Myofascial_release,95,"Muthu.G, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Naturopathy,"Naturopathy or naturopathic medicine is a form of alternative medicine that employs an array of pseudoscientific practices branded as ""natural"", ""non-invasive"", or promoting ""self-healing"". The ideology and methods of naturopathy are based on vitalism and folk medicine, rather than evidence-based medicine (EBM). Naturopathic practitioners generally recommend against following modern medical practices, including but not limited to medical testing, drugs, vaccinations, and surgery. Instead, naturopathic practice relies on unscientific notions, often leading naturopaths to diagnoses and treatments that have no factual merit.
",https://en.wikipedia.org/wiki/Naturopathic_medicine,96,"Sathiyanandham1011, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
New Thought,"Antiquity
",https://en.wikipedia.org/wiki/New_thought,97,"The Elizabeth Towne Company, illustrated by Henry Ritz, Public domain, via Wikimedia Commons",,,,,,,,,,
Neuro-linguistic programming,"Neuro-linguistic programming (NLP) is a pseudoscientific approach to communication, personal development, and psychotherapy created by Richard Bandler and John Grinder in California, United States, in the 1970s. NLP's creators claim there is a connection between neurological processes (neuro-), language (linguistic) and behavioral patterns learned through experience (programming), and that these can be changed to achieve specific goals in life. Bandler and Grinder also claim that NLP methodology can ""model"" the skills of exceptional people, allowing anyone to acquire those skills. They claim as well that, often in a single session, NLP can treat problems such as phobias, depression, tic disorders, psychosomatic illnesses, near-sightedness, allergy, the common cold, and learning disorders. NLP has been adopted by some hypnotherapists and also by companies that run seminars marketed as leadership training to businesses and government agencies.
",https://en.wikipedia.org/wiki/Neuro-linguistic_programming,98,"Michel Awkal, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Numerology,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Numerology,99,"O mensageiro, FAL, via Wikimedia Commons",,,,,,,,,,
Orthopathy,"Orthopathy (from the Greek á½€ÏÎ¸ÏŒÏ‚ orthos ""right"" and Ï€Î¬Î¸Î¿Ï‚ pathos ""suffering"") or natural hygiene (NH) is a set of alternative medical beliefs and practices originating from the Nature Cure movement. Proponents claim that fasting, dieting, and other lifestyle measures are all that is necessary to prevent and treat disease.
",https://en.wikipedia.org/wiki/Orthopathy,100,"Nallett, Public domain, via Wikimedia Commons",,,,,,,,,,
Osteopathy,"Osteopathy is a type of alternative medicine that emphasizes physical manipulation of the body's muscle tissue and bones. Practitioners of osteopathy are referred to as osteopaths. Its name derives from Ancient Greek ""bone"" (á½€ÏƒÏ„Î­Î¿Î½) and ""sensitive to"" or ""responding to"" (-Ï€Î¬Î¸ÎµÎ¹Î±).
",https://en.wikipedia.org/wiki/Osteopathy,101,"Wilkes-Barre Times (Wilkes-Barre, Pennsylvania)25 Aug 1900, SatPage 7i1, Public domain, via Wikimedia Commons",,,,,,,,,,
Pilates,"Pilates (/pÉªËˆlÉ‘ËtiËz/; German: [piËˆlaËtÉ™s]) is a physical fitness system developed in the early 20th century by Joseph Pilates, after whom it was named. Pilates called his method ""Contrology"". It is practiced worldwide, especially in Western countries such as Australia, Canada, the United States and the United Kingdom. As of 2005, there were 11 million people practicing the discipline regularly and 14,000 instructors in the United States.
",https://en.wikipedia.org/wiki/Pilates,102,"Junior Brambilla, CC0, via Wikimedia Commons",,,,,,,,,,
Prayer,"Prayer is an invocation or act that seeks to activate a rapport with an object of worship through deliberate communication. In the narrow sense, the term refers to an act of supplication or intercession directed towards a deity (a god), or a deified ancestor. More generally, prayer can also have the purpose of thanksgiving or praise, and in comparative religion is closely associated with more abstract forms of meditation and with charms or spells.
",https://en.wikipedia.org/wiki/Prayer,103,"Shrey Khurana, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Psychic surgery,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Psychic_surgery,104,"Open Media Ltd, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Prokarin,"Prokarin (also known as Procarin) is a patented alternative medicine that consists of a mixture of histamine and caffeine. It is marketed as a treatment for multiple sclerosis, but there is no good medical evidence of its safety or effectiveness. The drug lacks any plausible basis in science and is very expensive.
",https://en.wikipedia.org/wiki/Prokarin,105,"Bhagyashri Wakhale, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Qigong,"Qigong (/ËˆtÊƒiËËˆÉ¡É’Å‹/), qi gong, chi kung, or chi gung (simplified Chinese: æ°”åŠŸ; traditional Chinese: æ°£åŠŸ; pinyin: qÃ¬gÅng; Wadeâ€“Giles: châ€˜i kung; lit. 'life-energy cultivation') is a system of coordinated body-posture and movement, breathing, and meditation used for the purposes of health, spirituality, and martial-arts training. With roots in Chinese medicine, philosophy, and martial arts, qigong is traditionally viewed by the Chinese and throughout Asia as a practice to cultivate and balance qi (pronounced approximately as ""chi""), translated as ""life energy"".
",https://en.wikipedia.org/wiki/Qigong,106,"Unknown authorUnknown author, Public domain, via Wikimedia Commons",,,,,,,,,,
Rebirthing (breathwork),"Rebirthing-breathwork is a type of breathwork invented by Leonard Orr. Orr proposed that correct breathing can cure disease and relieve pain.
",https://en.wikipedia.org/wiki/Rebirthing_(breathwork),107,"MatteoBroc, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Recreational therapy,"According to the American Therapeutic Recreation Association (ATRA), recreational therapy or therapeutic recreation (TR) is a systematic process that utilizes recreation (leisure) and other activities as interventions to address the assessed needs of individuals with illnesses and/or disabling conditions, as a means to psychological and physical health, recovery and well-being. Recreational therapy may also be simply referred to as recreation therapy, in short it is the utilization and enhancement of leisure.
",https://en.wikipedia.org/wiki/Recreational_Therapy,108,"Petty Officer 3rd Class Charles Gaddis IV, Public domain, via Wikimedia Commons",,,,,,,,,,
Reflexology,"Reflexology, also known as zone therapy, is an alternative medical practice involving the application of pressure to specific points on the feet and hands. This is done using thumb, finger, and hand massage techniques without the use of oil or lotion. It is based on a pseudoscientific system of zones and reflex areas that purportedly reflect an image of the body on the feet and hands, with the premise that such work on the feet and hands causes a physical change to the supposedly related areas of the body.
",https://en.wikipedia.org/wiki/Reflexology,109,"Dien Chan Institute Reflexology, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Reiki,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Reiki,110,"queeselreiki, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Rosen Method Bodywork,"Rosen Method Bodywork (or Rosen Method) is a type of Complementary and alternative medicine.  This bodywork, described as ""psycho-somatic"", claims to help integrate one's bodily and emotional/mental experience while identifying unconscious patterns of muscular holding, feeling, and behavior. The main theory underpinning this method is that a person protects themselves from past painful experiences through the body, separating one from one's true self. This alleged protection is said to be experienced most frequently as chronic musculoskeletal pain and tension, and purportedly can be observed by the bodywork practitioners as restricted patterns of movement and posture, muscular tension, or shortness of breath. Rosen Method Bodywork purports to integrate the body, mind, emotions and spirit; and unlock the unconscious.
",https://en.wikipedia.org/wiki/Rosen_Method,111,"Espen Mathisen, Public domain, via Wikimedia Commons",,,,,,,,,,
Shiatsu,"Shiatsu (/ÊƒiËˆÃ¦ts-, -ËˆÉ‘ËtsuË/ shee-AT-, -â AHT-soo; æŒ‡åœ§) is a form of Japanese bodywork based on concepts in traditional Chinese medicine such as the use of chi meridians. Shiatsu derives from a Japanese massage modality called anma.
",https://en.wikipedia.org/wiki/Shiatsu,112,"chiaravdberg, CC BY-SA 2.5 <https://creativecommons.org/licenses/by-sa/2.5>, via Wikimedia Commons",,,,,,,,,,
Siddha medicine,"Siddha medicine is a traditional medicine originating in South India. It is one of the oldest systems of medicine in India. The Indian Medical Association regards Siddha medicine degrees as ""fake"" and Siddha therapies as quackery, posing a danger to national health due to absence of training in science-based medicine.Â Identifying fake medical practitioners without qualifications, the Supreme Court of India stated in 2018 that ""unqualified, untrained quacks are posing a great risk to the entire society and playing with the lives of people without having the requisite training and education in the science from approved institutions"".
",https://en.wikipedia.org/wiki/Siddha_medicine,113,"Adharshedapal, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Music therapy,"Music therapy, an allied health profession, ""is the clinical and evidence-based use of music interventions to accomplish individualized goals within a therapeutic relationship by a credentialed professional who has completed an approved music therapy program.""
",https://en.wikipedia.org/wiki/Sound_therapy,114,"See page for author, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Support group,"
In a support group, members provide each other with various types of help, usually nonprofessional and nonmaterial, for a particular shared, usually burdensome, characteristic. Members with the same issues can come together for sharing coping strategies, to feel more empowered and for a sense of community. The help may take the form of providing and evaluating relevant information, relating personal experiences, listening to and accepting others' experiences, providing sympathetic understanding and establishing social networks. A support group may also work to inform the public or engage in advocacy.
","https://en.wikipedia.org/wiki/Support_groups



",115,"Charlie Eaton, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Tai chi,"Tai chi (simplified Chinese: å¤ªæž; traditional Chinese: å¤ªæ¥µ; pinyin: TÃ ijÃ­), short for T'ai chi ch'Ã¼an or TÃ ijÃ­ quÃ¡n (å¤ªæ¥µæ‹³), sometimes colloquially known as ""Shadowboxing"", is an internal Chinese martial art practiced for defense training, health benefits, and meditation. The term taiji is a Chinese cosmological concept for the flux of yin and yang, and 'quan' means fist. Etymologically, Taijiquan is a fist system based on the dynamic relationship between polarities (Yin and Yang). Developed as a martial art, it is practiced for other reasons: competitive wrestling in the format of pushing hands (tui shou), demonstration competitions, and greater longevity. As a result, a multitude of traditional and modern training forms exist corresponding to those aims with differing emphasis. Some training forms of tai chi are practiced with extremely slow movements.
",https://en.wikipedia.org/wiki/T%27ai_chi_ch%27uan,116,"SONGMY, CC BY 2.5 CN <https://creativecommons.org/licenses/by/2.5/cn/deed.en>, via Wikimedia Commons",,,,,,,,,,
Tantra massage,"Tantra , or tantric massage, are two defined massages developed in Berlin in 1977. Erotic massage which incorporates elements from the neotantric movement in the Western world massages the primary erogenous zones of the body, those being the mouth, the phallus (penis), the vagina and the anus.
",https://en.wikipedia.org/wiki/Tantra_massage,117,"Francesco Calabrò, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Daoyin,"Daoyin, also called Daoist neigong, is a series of body and mind unity exercises (Divided into yin: lying and sitting positions, and yang: standing and moving positions) practiced by Daoists to cultivate jing (essence) and direct and refine qi, the internal energy of the body according to Traditional Chinese medicine.
The practice of daoyin was a precursor of qigong, and was practised in Chinese Taoist monasteries for health and spiritual cultivation. Daoyin is also said to be a primary formative ingredient in the well-known ""soft styles"" of the Chinese martial arts, of Taiji quan. and middle road styles like Wuxingheqidao.
",https://en.wikipedia.org/wiki/Tao_yin,118,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Thai massage,"Thai massage or Thai yoga massage is a traditional therapy combining acupressure, Indian Ayurvedic principles, and assisted yoga postures. The idea of Shen-lines alias energy-lines was first used as ""Thai yoga massage"". These are similar to nadis as per the philosophy of yoga by Gorakhnath.
",https://en.wikipedia.org/wiki/Thai_massage,119,"Thomas Wanhoff from Phnom Penh, Cambodia, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons",,,,,,,,,,
Thalassotherapy,"Thalassotherapy (from the Greek word thalassa, meaning ""sea"") is the use of seawater as a form of therapy. It is based on the systematic use of seawater, sea products, and shore climate. Practitioners claim the properties of seawater have beneficial effects upon the pores of the skin.[citation needed]
",https://en.wikipedia.org/wiki/Thalassotherapy,120,"Le Meridien Limassol Spa & Resort, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Therapeutic touch,"Reportedly haunted locations:
",https://en.wikipedia.org/wiki/Therapeutic_touch,121,"Studio Roosegaarde, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Traditional Korean medicine,"Traditional Korean medicine (known in North Korea as Koryo medicine) is traditional medicine practiced in Korea. Korean Medicine, a branch of East Asian medicine, originates from the Korean Peninsula and Yoha peninsula which used to be Korea in the most time of its past, suggesting that it has been passed down and developed in the two areas of both Korean and China that were previously inhabited by the Korean people of today.
https://nikom.or.kr/kmp/board/index.do?menu_idx=29&manage_idx=89

",https://en.wikipedia.org/wiki/Traditional_Korean_medicine,122,"National Institute of Korean Language, CC BY-SA 2.0 KR <https://creativecommons.org/licenses/by-sa/2.0/kr/deed.en>, via Wikimedia Commons",,,,,,,,,,
Kampo,"KampÅ medicine (æ¼¢æ–¹åŒ»å­¦, KanpÅ igaku), often known simply as KanpÅ (æ¼¢æ–¹, Chinese [medicine]), is the study of traditional Chinese medicine in Japan following its introduction, beginning in the 7th century. then adapted and modified to suit Japanese culture and traditions. Traditional Japanese medicine (TJM), uses most of the Chinese therapies including acupuncture and moxibustion, and traditional Chinese herbology and traditional food therapy.
",https://en.wikipedia.org/wiki/Traditional_Japanese_medicine,123,"National Institute of Korean Language, CC BY-SA 2.0 KR <https://creativecommons.org/licenses/by-sa/2.0/kr/deed.en>, via Wikimedia Commons",,,,,,,,,,
Traditional Mongolian medicine,"Traditional Mongolian medicine developed over many years among the Mongolian people. Mongolian medical practice spread across their empire and became an ingrained part of many other people's medical systems.
",https://en.wikipedia.org/wiki/Traditional_Mongolian_medicine,124,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Traditional Tibetan medicine,"Traditional Tibetan medicine (Tibetan: à½–à½¼à½‘à¼‹à½€à¾±à½²à¼‹à½‚à½¦à½¼à¼‹à½–à¼‹à½¢à½²à½‚à¼‹à½”à¼‹, Wylie: bod kyi gso ba rig pa), also known as Sowa-Rigpa medicine, is a centuries-old traditional medical system that employs a complex approach to diagnosis, incorporating techniques such as pulse analysis and urinalysis, and utilizes behavior and dietary modification, medicines composed of natural materials (e.g., herbs and minerals) and physical therapies (e.g. Tibetan acupuncture, moxabustion, etc.) to treat illness.
",https://en.wikipedia.org/wiki/Traditional_Tibetan_medicine,125,"Mlogic, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Trager approach,"The Trager approach is a form of somatic education. Proponents claim the Trager approach helps release deep-seated physical and mental patterns and facilitates deep relaxation, increased physical mobility, and mental clarity. The founder, Milton Trager, called his work Psychophysical Integration. He was an athlete, dancer, and bodybuilder. He began doing bodywork with no training and later worked under a variety of practitioner licenses, including an MD earned in Mexico followed by 2 years residency in psychiatry. Trager wanted western medicine to accept his proposed mind-body connection in treating challenging conditions such as postpolio, Parkinson's, and other neuromuscular conditions. Doctors reportedly referred patients to him and were surprised by the results, but ""none seemed to consider his drugless treatments as effective as surgery or medication"" and the medical approach to these conditions did not fundamentally shift away from them as he had envisioned. 
Late in life, at the Esalen Institute, he was encouraged to begin teaching, which he did for the last 22 years of his life.
",https://en.wikipedia.org/wiki/Trager_approach,126,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Transcendental Meditation,"Transcendental Meditation (TM) refers to a specific form of silent meditation and the organizations that constitute the Transcendental Meditation movement. Maharishi Mahesh Yogi created and introduced the TM technique and TM movement in India in the mid-1950s. Advocates of TM claim that the technique promotes a state of relaxed awareness, stress relief, creativity, and efficiency, as well as physiological benefits such as reducing the risk of heart disease and high blood pressure. The technique is also purported to allow practitioners to experience higher states of consciousness.
",https://en.wikipedia.org/wiki/Transcendental_meditation,127,"Onlysilence, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Tui na,"Tui na ([tÊ°weÌi.naÌŒ]; Chinese: æŽ¨æ‹¿) is form of alternative medicine similar to shiatsu. As a branch of traditional Chinese medicine it is often used in conjunction with acupuncture, moxibustion, fire cupping, Chinese herbalism, t'ai chi or other Chinese internal martial arts, and qigong.
",https://en.wikipedia.org/wiki/Tui_na,128,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
Unani medicine,"Unani or Yunani medicine (Urdu: Ø·Ø¨ ÛŒÙˆÙ†Ø§Ù†ÛŒ tibb yÅ«nÄnÄ«) is Perso-Arabic traditional medicine as practiced in Muslim culture in South Asia and modern day Central Asia. Unani medicine is pseudoscientific.
",https://en.wikipedia.org/wiki/Unani_medicine,129,"Umaindiaorg, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Urine therapy,"Urine therapy or urotherapy, (also urinotherapy, Shivambu,  uropathy, or auto-urine therapy) in alternative medicine is the application of human urine for medicinal or cosmetic purposes, including drinking of one's own urine and massaging one's skin, or gums, with one's own urine. No scientific evidence exists to support any beneficial health claims of urine therapy.
",https://en.wikipedia.org/wiki/Urine_therapy,130,"Surya Prakash.S.A., CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",,,,,,,,,,
Vaginal steaming,"Vaginal steaming, sometimes shortened to V-steaming, and also known as yoni steaming, is an alternative health treatment whereby a woman squats or sits over steaming water containing herbs such as mugwort, rosemary, wormwood, and basil. It has been practiced in Africa (Mozambique, South Africa), Asia (Indonesia, Thailand), and Central America (among the Q'eqchi' people).
",https://en.wikipedia.org/wiki/Vaginal_steaming,131,"https://openclipart.org/artist/eady, CC0, via Wikimedia Commons",,,,,,,,,,
Guided imagery,"Guided imagery (also known as guided affective imagery, or katathym-imaginative psychotherapy (KIP)) is a mind-body intervention by which a trained practitioner or teacher helps a participant or patient to evoke and generate mental images that simulate or re-create the sensory perception of sights, sounds, tastes, smells, movements, and images associated with touch, such as texture, temperature, and pressure, as well as imaginative or mental content that the participant or patient experiences as defying conventional sensory categories, and that may precipitate strong emotions or feelings in the absence of the stimuli to which correlating sensory receptors are receptive.
",https://en.wikipedia.org/wiki/Visualization_(cam),132,"Photo by <a href=""https://unsplash.com/@usgs?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">USGS</a> on <a href=""https://unsplash.com/?utm_source=unsplash&utm_medium=referral&utm_content=creditCopyText"">Unsplash</a>
  ",,,,,,,,,,
Mental image,"A mental image or mental picture is an experience that, on most occasions, significantly resembles the experience of visually perceiving some object, event, or scene, but occurs when the relevant object, event, or scene is not actually present to the senses.  There are sometimes episodes, particularly on falling asleep (hypnagogic imagery) and waking up (hypnopompic), when the mental imagery, being of a rapid, phantasmagoric and involuntary character, defies perception, presenting a kaleidoscopic field, in which no distinct object can be discerned. Mental imagery can sometimes produce the same effects as would be produced by the behavior or experience imagined.
",https://en.wikipedia.org/wiki/Mental_image,133,"Victoruler, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,
RÄja yoga,"In Sanskrit texts, RÄja yoga (/ËˆrÉ‘ËdÊ’É™ ËˆjoÊŠÉ¡É™/) was both the goal of yoga and a method of attaining it. The term also became a modern name for the practice of yoga, when in the 19th-century Swami Vivekananda gave his interpretation of the Yoga Sutras of Patanjali in his book Raja Yoga. Since then, RÄja yoga has variously been called aá¹£á¹­Äá¹…ga yoga, royal yoga, royal union, sahaja marg, and classical yoga.
",https://en.wikipedia.org/wiki/R%C4%81ja_yoga,134,"Vivekananda, Public domain, via Wikimedia Commons",,,,,,,,,,
Ashtanga vinyasa yoga,"Ashtanga Vinyasa Yoga is a style of yoga as exercise popularised by K. Pattabhi Jois during the 20th century, often promoted as a modern-day form of classical Indian yoga. He claimed to have learnt the system from his teacher, Tirumalai Krishnamacharya. The style is energetic, synchronising breath with movements. The individual poses (asanas) are linked by flowing movements (vinyasas).
",https://en.wikipedia.org/wiki/Ashtanga_vinyasa_yoga,135,"Barry  Silver from Tokyo, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",,,,,,,,,,
Bikram Yoga,"Bikram Yoga is a system of hot yoga, a type of yoga as exercise, devised by Bikram Choudhury, that became popular in the early 1970s. Classes consist of a fixed sequence of 26 postures, practised in a room heated to 105Â Â°F (41Â Â°C) with a humidity of 40%, intended to replicate the climate of India. The room is fitted with carpets and the walls are covered in mirrors. The instructor may adjust the students' yoga postures. Choudhury's teaching style was abrasive.
",https://en.wikipedia.org/wiki/Bikram_yoga,136,"Ambermarquez31, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Iyengar Yoga,"Iyengar Yoga, named after and developed by B. K. S. Iyengar, and described in his bestselling 1966 book Light on Yoga, is a form of yoga as exercise that has an emphasis on detail, precision and alignment in the performance of yoga postures (asanas).
",https://en.wikipedia.org/wiki/Iyengar_yoga,137,"Kaethe17, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Kundalini yoga,"Kundalini yoga (kuá¹‡á¸alinÄ«-yoga) derives from kundalini, defined in Vedantic culture as energy that lies dormant at the base of the spine until it is activated (as by the practice of yoga) and channeled upward through the chakras in the process of spiritual perfection. Kundalini is believed by adherents to be power associated with the divine feminine. Kundalini yoga as a school of yoga is influenced by Shaktism and Tantra schools of Hinduism. It derives its name through a focus on awakening kundalini energy through regular practice of mantra, tantra, yantra, yoga, or meditation.
","
https://en.wikipedia.org/wiki/Kundalini_yoga",138,,"

",,,,,,,,,
Siddha Yoga,"Siddha Yoga is a spiritual path founded by Muktananda (1908â€“1982). The organization states in its literature that the Siddha Yoga tradition is ""based mainly on eastern philosophies"".  It also states that it ""draws many of its teachings from the Indian yogic texts of Vedanta and Kashmir Shaivism, the Bhagavad Gita and the poet-saints."" The present head of Siddha Yoga is Gurumayi Chidvilasananda.
",https://en.wikipedia.org/wiki/Siddha_yoga,139,"Jatin Raval, Public domain, via Wikimedia Commons",,,,,,,,,,
Sivananda yoga,"Sivananda Yoga is a spiritual yoga system founded by Swami Vishnudevananda; it includes the use of asanas (yoga postures) but is not limited to them as in systems of yoga as exercise.  He named this system, as well as the international Sivananda Yoga Vedanta Centres organization responsible for propagating its teachings, after his guru, Swami Sivananda with the mission 'to spread the teachings of yoga and the message of world peace' which has since been refined to 'practice and teach the ancient yogic knowledge for health, peace, unity in diversity and self-realization.'
",https://en.wikipedia.org/wiki/Sivananda_yoga,140,"Niranjan Arminius, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",,,,,,,,,,
Zang-fu,"The zÃ ng-fÇ” (simplified Chinese: è„è…‘; traditional Chinese: è‡Ÿè…‘) organs are functional entities stipulated by Traditional Chinese medicine (TCM). They constitute the centre piece of TCM's general concept of how the human body works. The term zÃ ng (è„) refers to the organs considered to be yin in nature â€“ Heart, Liver, Spleen, Lung, Kidney â€“ while fÇ” (è…‘) refers to the yang organs â€“ Small Intestine, Large Intestine, Gall Bladder, Urinary Bladder, Stomach and SÄnjiaÅ.
",https://en.wikipedia.org/wiki/Zang-fu,141,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",,,,,,,,,,